year,trade_value,avg_tariff_rate,unemployment_rate,exchange_rate_mxn,exchange_rate_cad,cpi,gdp_growth,country_Canada,country_Mexico
2020,270.025523613,9.14,7.7250000000000005,21.5462092,1.3422032,258.85575,1.5750000000000006,True,False
2021,357.274663444,9.18,5.633333333333333,20.284382730923696,1.2533385542168676,270.97341666666665,5.75,True,False
2024,411.886683368,9.28,4.116666666666666,18.30622310756972,1.3698701195219123,313.6981666666667,2.4,True,False
2011,315.324753291,9.35,8.033333333333333,12.427027888446215,0.9886860557768924,224.923,1.575,True,False
2019,318.588850082,9.08,3.525,19.24693373493976,1.32694578313253,255.65258333333335,3.375,True,False
2016,277.719813481,9.08,4.666666666666667,18.667388446215142,1.3242569721115538,240.00541666666666,2.175,True,False
2013,332.503645324,9.2,6.316666666666666,12.758429880478086,1.030003984063745,232.95174999999998,3.025,True,False
2014,349.286122826,9.13,5.183333333333334,13.3021868,1.104266,236.715,2.725,True,False
2010,277.636732987,9.42,8.25,12.623667600000001,1.0297876000000001,218.0761666666667,2.75,True,False
2015,296.305080863,9.1,4.466666666666667,15.873454183266933,1.2791386454183267,237.00175000000002,2.1,True,False
2017,299.065421162,9.05,4.358333333333333,18.884065863453817,1.2983746987951807,245.121,3.025,True,False
2018,318.574833702,9.02,3.9166666666666665,19.217900803212853,1.2956654618473895,251.0995,2.125,True,False
2023,418.010321977,9.25,4.0249999999999995,17.733420080321288,1.349443373493976,304.70300000000003,3.375,True,False
2022,437.417589559,9.22,3.933333333333333,20.120828399999997,1.3013704,292.62641666666667,1.325,True,False
2012,324.263012583,9.28,6.708333333333333,13.15389203187251,0.9994936254980079,229.58608333333333,1.575,True,False
2017,312.666740496,9.05,4.358333333333333,18.884065863453817,1.2983746987951807,245.121,3.025,False,True
2019,356.093584045,9.08,3.525,19.24693373493976,1.32694578313253,255.65258333333335,3.375,False,True
2011,262.873595958,9.35,8.033333333333333,12.427027888446215,0.9886860557768924,224.923,1.575,False,True
2021,382.56933925,9.18,5.633333333333333,20.284382730923696,1.2533385542168676,270.97341666666665,5.75,False,True
2014,295.729962846,9.13,5.183333333333334,13.3021868,1.104266,236.715,2.725,False,True
2023,472.907368135,9.25,4.0249999999999995,17.733420080321288,1.349443373493976,304.70300000000003,3.375,False,True
2020,323.476917991,9.14,7.7250000000000005,21.5462092,1.3422032,258.85575,1.5750000000000006,False,True
2012,277.593639546,9.28,6.708333333333333,13.15389203187251,0.9994936254980079,229.58608333333333,1.575,False,True
2013,280.556040242,9.2,6.316666666666666,12.758429880478086,1.030003984063745,232.95174999999998,3.025,False,True
2016,293.50060666,9.08,4.666666666666667,18.667388446215142,1.3242569721115538,240.00541666666666,2.175,False,True
2010,229.985623006,9.42,8.25,12.623667600000001,1.0297876000000001,218.0761666666667,2.75,False,True
2024,505.523174525,9.28,4.116666666666666,18.30622310756972,1.3698701195219123,313.6981666666667,2.4,False,True
2018,343.68054051,9.02,3.9166666666666665,19.217900803212853,1.2956654618473895,251.0995,2.125,False,True
2022,452.014966511,9.22,3.933333333333333,20.120828399999997,1.3013704,292.62641666666667,1.325,False,True
2015,296.433325024,9.1,4.466666666666667,15.873454183266933,1.2791386454183267,237.00175000000002,2.1,False,True
